 Save ,حفظ
You are not enrolled in program {0},أنت غير مسجّل في البرنامج {0}
You have already assessed for the assessment criteria {}.,تم التقييم مسبقاً لمعيار التقييم {}.
Pay Fees,دفع الرسوم
Proceed to Payment,المتابعة للدفع
Apply Leave,تقديم طلب إجازة
Select Student Group,اختر المجموعة التعليمية
Leave applied successfully,تم تقديم طلب الإجازة بنجاح
Error Occured,حدث خطأ
Something went wrong,حدث خطأ ما
Profile,الملف الشخصي
Time,الوقت
Mobile number is required,رقم الجوال مطلوب
Email is Required,البريد الإلكتروني مطلوب
January,يناير
February,فبراير
March,مارس
April,أبريل
May,مايو
June,يونيو
July,يوليو
August,أغسطس
September,سبتمبر
October,أكتوبر
November,نوفمبر
December,ديسمبر
Grades,الدرجات
Expand,توسيع
Collapse,طي
Log out,تسجيل الخروج
Sun,الأحد
Mon,الاثنين
Tue,الثلاثاء
Wed,الأربعاء
Thu,الخميس
Fri,الجمعة
Sat,السبت
Jan,ينا
Feb,فبر
Mar,مار
Apr,أبر
May,ماي
Jun,يون
Jul,يول
Aug,أغس
Sep,سبت
Oct,أكت
Nov,نوف
Dec,ديس
